# PlateIFU, Index, sptype, SpecObj.RA, SpecObj.Dec, SPFIT.RA, SPFIT.Dec
 7815-12702  3 -9 317.945034   9.281663 -99.000000 -99.000000
  7981-9102  2 -9 338.406258  13.213672 -99.000000 -99.000000
 7981-12701  4 -9 337.671076  13.984266 -99.000000 -99.000000
 8075-12704  1 -4 358.526220  15.973421 -99.000000 -99.000000
  8092-3701  1 -4  18.754422  15.413329 -99.000000 -99.000000
 8145-12701  2 -4 117.007704  28.028226 -99.000000 -99.000000
  8155-9102  1 -9  53.689999  -1.244675 -99.000000 -99.000000
 8241-12702  2 -9 125.215339  18.012693 -99.000000 -99.000000
 8252-12701  3 -1 144.240861  48.298401 -99.000000 -99.000000
  8255-9102  1 -4 165.759756  44.715081 -99.000000 -99.000000
 8313-12701  2 -4 239.485263  41.792719 -99.000000 -99.000000
  8330-3703  1 -4 204.178999  39.207602 -99.000000 -99.000000
  8546-3704  1 -9 238.891296  50.478768 -99.000000 -99.000000
  8551-3701  1 -4 232.905970  45.746221 -99.000000 -99.000000
  8554-6102  4 -4 182.780179  35.333168 -99.000000 -99.000000
  8565-6101  1 -9 240.363759  47.281945 -99.000000 -99.000000
 8565-12701  2 -4 241.167387  49.447815 -99.000000 -99.000000
  8596-3701  2 -9 230.510486  50.171924 -99.000000 -99.000000
  8600-1901  1 -4 242.582343  43.009711 -99.000000 -99.000000
 8609-12705  2 -9 246.712983  13.877447 -99.000000 -99.000000
 8618-12703  8 -9 319.449628  11.664808 -99.000000 -99.000000
 8626-12703  2 -9 265.107781  56.705580 -99.000000 -99.000000
  8652-1902  2 -9 331.086982  -0.501034 -99.000000 -99.000000
  8723-3704  1 -4 129.948313  54.582248 -99.000000 -99.000000
  8944-6102  2 -9 148.329734  34.767884 -99.000000 -99.000000
  8982-3703  1 -4 203.192634  26.580741 -99.000000 -99.000000
 8992-12705  2 -4 172.216335  51.004938 -99.000000 -99.000000
 9001-12705  3 -4 168.166927  50.674757 -99.000000 -99.000000
  9041-3704  1 -4 235.281769  28.893900 -99.000000 -99.000000
  9043-9101  4 -4 230.114781  28.883490 -99.000000 -99.000000
  9047-3704  1 -9 247.591740  25.674086 -99.000000 -99.000000
 9047-12702  1 -9 247.406047  25.769779 -99.000000 -99.000000
  9187-3704  3 -9 312.197198  -6.500934 -99.000000 -99.000000
  9187-3704  4 -9 312.200633  -6.501201 -99.000000 -99.000000
  9187-9102  1 -9 312.352911  -6.569893 -99.000000 -99.000000
  9187-9102  2 -9 312.355328  -6.568103 -99.000000 -99.000000
  9503-3703  2 -4 121.447688  25.258525 -99.000000 -99.000000
 9514-12702  3 -9  32.644673  12.922494 -99.000000 -99.000000
 9868-12703  1 -9 220.085731  46.939999 -99.000000 -99.000000
 10001-3702  1 -9 132.916429  57.105823 -99.000000 -99.000000
 10214-6102  1 -9 122.843306  34.584724 -99.000000 -99.000000
 10219-9102  1 -4 125.345249  20.914152 -99.000000 -99.000000
10515-12704  1 -9 148.033677   4.256487 -99.000000 -99.000000
 10517-3702  1 -9 150.103571   4.400546 -99.000000 -99.000000
 10518-3701  1 -9 152.869180   5.151583 -99.000000 -99.000000
10837-12703  1 -9 159.998216   3.116754 -99.000000 -99.000000
 10840-6103  2 -4 133.822179   4.470660 -99.000000 -99.000000
10840-12701  4 -9 133.361162   4.319318 -99.000000 -99.000000
 10842-3704  1 -4 141.347972   4.506386 -99.000000 -99.000000
 10844-6103  1 -9 146.087782   6.074724 -99.000000 -99.000000
 10844-6103  2 -9 146.094056   6.078040 -99.000000 -99.000000
