# PlateIFU, Index, sptype, SpecObj.RA, SpecObj.Dec, SPFIT.RA, SPFIT.Dec
  7981-9102  2 -9 338.406258  13.213672 -99.000000 -99.000000
 7981-12701  4 -9 337.671076  13.984266 -99.000000 -99.000000
 7990-12703  0  1 263.635471  58.230115 263.635373  58.230528
 7992-12703  0  1 254.573764  64.705637 254.573462  64.705367
 8075-12702  5 -4 358.944045  15.853058 -99.000000 -99.000000
 8075-12704  1 -4 358.526220  15.973421 -99.000000 -99.000000
  8078-3703  0  1  42.387440  -0.784422  42.387137  -0.784325
  8079-1902  1  1  42.545656  -0.999204  42.545984  -0.999191
  8150-3702  0  1 147.866971  32.942993 147.867214  32.943471
  8248-1902  2 -9 138.326904  16.193638 -99.000000 -99.000000
  8255-9102  1 -4 165.759756  44.715081 -99.000000 -99.000000
  8330-3703  1 -4 204.178999  39.207602 -99.000000 -99.000000
  8465-6101  2 -4 195.522925  47.493862 -99.000000 -99.000000
  8546-3704  1 -9 238.891296  50.478768 -99.000000 -99.000000
  8554-6102  4 -4 182.780179  35.333168 -99.000000 -99.000000
 8562-12702  1 -4 242.809224  51.195819 242.808319  51.195524
  8565-6101  1 -9 240.363759  47.281945 -99.000000 -99.000000
  8565-6104  0  1 242.797987  48.334425 242.797530  48.334494
 8565-12704  0  1 242.986185  48.897489 242.986343  48.897832
  8596-3701  2 -9 230.510486  50.171924 -99.000000 -99.000000
  8616-1901  1 -9 322.041236   1.142884 322.041218   1.142568
  8618-9101  2 -1 318.088801  11.218844 318.088550  11.219002
  8623-3703  2 -4 310.754349   1.133587 -99.000000 -99.000000
 8626-12703  2 -9 265.107781  56.705580 -99.000000 -99.000000
  8714-3701  2 -9 117.365137  45.530459 -99.000000 -99.000000
  8725-9101  0  1 126.825038  46.032587 126.824871  46.031488
  8944-6102  2 -9 148.329734  34.767884 -99.000000 -99.000000
 8946-12703  3  1 171.010120  47.975050 -99.000000 -99.000000
  8982-3703  1 -4 203.192634  26.580741 -99.000000 -99.000000
  8991-6102  2 -4 177.212952  51.552947 -99.000000 -99.000000
 9001-12705  3 -4 168.166927  50.674757 -99.000000 -99.000000
  9024-1901  1 -4 222.453240  33.855562 -99.000000 -99.000000
 9025-12702  4 -4 244.565843  29.651767 244.565672  29.651355
  9037-3701  0  1 234.462882  43.501294 234.463361  43.501230
  9041-3704  1 -4 235.281769  28.893900 -99.000000 -99.000000
  9043-9101  4 -4 230.114781  28.883490 -99.000000 -99.000000
 9045-12705  2 -4 228.237340  30.308813 -99.000000 -99.000000
  9085-6102  2 -4 259.150827  27.776132 -99.000000 -99.000000
 9181-12701  6 -4 118.564868  38.221071 -99.000000 -99.000000
  9183-9102  2 -4 121.885604  38.547418 121.885324  38.547691
  9190-6101  0  1  53.950439  -6.717601  53.950923  -6.717402
  9191-6103  3 -4 312.911274  -0.053198 -99.000000 -99.000000
 9195-12702  2 -4  28.378442  14.567323 -99.000000 -99.000000
 9489-12704  0  1 124.995216  21.066223 124.994956  21.066421
 9489-12704  1 -1 124.996461  21.065294 124.996207  21.065729
 9497-12704  2 -4 118.368638  21.264414 118.368963  21.264415
  9503-3703  2 -4 121.447688  25.258525 -99.000000 -99.000000
 9513-12701  1 -4  29.647411  12.449029  29.647616  12.449306
 9514-12702  3 -9  32.644673  12.922494 -99.000000 -99.000000
  9875-6104  1 -2 194.914855  27.854100 194.915325  27.853397
 10214-6102  1 -9 122.843306  34.584724 -99.000000 -99.000000
 10497-6103  0  1 121.504685  18.044802 121.504485  18.044490
10510-12703  0  1 178.823264  56.304321 178.822827  56.304483
10511-12705  0  1 130.858687   3.614672 130.858820   3.614296
 10512-3701  1 -4 135.689335   3.273044 -99.000000 -99.000000
10837-12703  1 -9 159.998216   3.116754 -99.000000 -99.000000
10838-12702  4 -4 146.524364  34.619749 -99.000000 -99.000000
 10840-6103  2 -4 133.822179   4.470660 -99.000000 -99.000000
10840-12701  4 -9 133.361162   4.319318 -99.000000 -99.000000
 10842-3704  1 -4 141.347972   4.506386 -99.000000 -99.000000
 10844-6103  2 -9 146.094056   6.078040 -99.000000 -99.000000
10845-12705  2 -9 150.243271   3.143275 -99.000000 -99.000000
 11004-3701  1 -9 196.864102  26.722951 -99.000000 -99.000000
11004-12703  0  1 195.871173  26.550499 195.871416  26.550212
 11009-9101  2 -9 194.630804  26.245785 -99.000000 -99.000000
11749-12702  0  1 138.969363  32.465934 138.969679  32.465548
 11755-9101  1 -9 187.081082  43.386736 -99.000000 -99.000000
 11760-6104  2 -4 192.462649  49.977455 -99.000000 -99.000000
 11939-3703  1 -2 194.358212  27.405133 194.357866  27.405128
11944-12703  1 -4 243.728952  37.607215 243.728629  37.607384
11945-12703  2 -4 252.958828  41.145863 -99.000000 -99.000000
11945-12703  3 -1 252.958338  41.145323 -99.000000 -99.000000
 11950-6102  1 -4 250.409471  28.970791 -99.000000 -99.000000
 11951-9101  1 -4 254.503638  31.619763 -99.000000 -99.000000
11954-12702  0  1 197.073023  52.007946 197.073479  52.008014
11954-12702  1 -4 197.069943  52.008124 197.069314  52.008496
 11968-6102  3 -9 228.259364   7.324747 -99.000000 -99.000000
 12083-6104  1 -4 344.499863  14.152636 -99.000000 -99.000000
 12088-3701  2 -9 348.417815  14.024412 -99.000000 -99.000000
 12088-3702  1 -4 348.649446  15.358685 -99.000000 -99.000000
 12092-6102  1 -9  14.077905  15.421532 -99.000000 -99.000000
12495-12702  2 -9 160.339872   3.317906 -99.000000 -99.000000
12518-12704  3 -9 159.721551   0.138985 -99.000000 -99.000000
 12674-6101  1 -1 246.392675  38.934710 246.393035  38.934641
12684-12705  4 -9 327.635180  -7.893436 -99.000000 -99.000000
12684-12705  5 -9 327.636981  -7.898196 -99.000000 -99.000000
